trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A99-A3858-2-27-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99235998379791,A3858,0,0
TB4-TB192-1-15-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB412634232060,TB192,0,0
A99-A3858-5-17-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99535998379791,A3858,0,0
A99-A1316-5-20-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99535998379791,A1316,0,0
A99-A3858-6-30-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99635998379791,A3858,0,0
A99-A3858-4-12-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99435998379791,A3858,0,0
A99-A3858-4-16-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99435998379791,A3858,0,0
A99-A1316-5-18-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99535998379791,A1316,0,0
A99-A3858-2-9-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99235998379791,A3858,0,0
A99-A1316-1-2-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99135998379791,A1316,0,0
A99-A1316-2-4-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99235998379791,A1316,0,0
TB4-TB192-4-26-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB442634232060,TB192,0,0
TM29-TM1111-8-3-29001167520,TM29,29001167520,КВ. КНЯЖЕВО,,,,TM1111,0,0
TM29-TM1110-8-16-29001167520,TM29,29001167520,Ж.К. ВРЪБНИЦА 1,,,,TM1110,0,0
TM29-TM1495-9-18-29001167520,TM29,29001167520,УЛ. ЙОСИФ ЩРОСМАЙЕР,,,,TM1495,0,0
TM29-TM1111-7-13-29001167520,TM29,29001167520,КВ. КНЯЖЕВО,,,,TM1111,0,0
A99-A1316-6-3-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99635998379791,A1316,0,0
A99-A1316-2-6-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99235998379791,A1316,0,0
A99-A3858-4-24-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99435998379791,A3858,0,0
A99-A1316-1-10-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99135998379791,A1316,0,0
A99-A3858-2-17-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99235998379791,A3858,0,0
A99-A1316-4-17-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99435998379791,A1316,0,0
TB4-TB334-3-19-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB432634232060,TB334,0,0
TM29-TM1110-3-11-29001167520,TM29,29001167520,Ж.К. ВРЪБНИЦА 1,,,,TM1110,0,0
A99-A3858-5-7-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99535998379791,A3858,0,0
A99-A3858-2-19-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99235998379791,A3858,0,0
A99-A1316-3-8-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99335998379791,A1316,0,0
A99-A1316-6-5-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99635998379791,A1316,0,0
